name_of_firm,trade_name,category,owner,address,city,state,zip,description
Dive Commercial International Inc,,women-owned,Doris  M Ritter,19004 HWY 99,Lynnwood,WA,98036-5206,"Authorized and Certified Kirby Morgan Repair Technician. Equipment for specialized diving, surface supplied, for commercial, military, search and rescue, fire department, and scientific divers. DCI is a world-wide supplier where you'll find the equipment and products you need for your commercial diving operation. Backed by over 120 years of combined experience in the commercial diving and maritime industry, we pride ourselves in having the best customer service in the industry. Contact us if you have any questions, would like to request a quote or need information on any commercial diving equipment products."
OES Inc,ORION LABORATORIES,women-owned,NELSON  MILES III,34004 9TH AVE S STE A5,FEDERAL WAY,WA,98003-6737,"Servicing a network of more than 350 clients, OES provides a broad-based consulting services for major institutional clients and leading companies in manufacturing, real estate, aviation, health care, finance, and insurance. Representative government institutional clients we consult for include: Department of Defense, United State Postal Services, Veterans Administration, Federal Aviation Administration, and Department of Transportation. Our staff of professionals includes Certified Industrial Hygienists, Industrial Hygienists, Environmental Scientists, Industrial Hygiene Technicians, Chemists, Construction Managers, and Laboratory Analysts. Within our qualified personnel, each maintain accreditations of AHERA Building Inspectors, Management Planners and Project Designers; Asbestos Abatement Supervisors; Lead-based Paint Inspectors and Risk Assessor, and NIOSH 582 Asbestos Dust Analysis"
"DEFINITIVE SOLUTIONS & TECHNOLOGIES, INC.",DEFINITIVE SOLUTIONS & TECH,women-owned,BRUCE L AMUNDSEN,210 44TH ST NW STE 106,AUBURN,WA,98001-1757,"30 years experience in Waterjet cutting applications. Custom fabrication and hard tooling development with a prompt turn around. Subcontractor for Aerospace companies. AS9100D,ISO 9001:2015 certified. Two Engineers on staff."
Stiles Inc.,,women-owned,SANDRA  STILES,1711 SWIER LN,YAKIMA,WA,98901-7800,
"Glacier Environmental Services, Inc.",,women-owned,LAUREN  GOLEMBIEWSKI,3415 121st St SW,Lynnwood,WA,98087-1549,"Glacier Environmental Services, Inc. (Glacier) is a woman-owned environmental construction company, specializing in remedial site work and mechanical system installation. Since 1990, we have provided these services to private, industrial and government clients throughout the Pacific Northwest, California and Alaska.  Our diverse experience includes commercial fuel system removal and installation, site excavation/decontamination, landfill closure and methane extraction, and installation, start-up and operation of treatment systems for contaminated soil and ground water."
SAH Ecologia LLC,,women-owned,Sonia A Hall,669 Crawford Ave,Wenatchee,WA,98801-3677,"We specialize in connecting the dots to enable professionals to work together to achieve bigger goals. I can help you … … coordinate work with partners …. liaise between scientists and practitioners … write up plans, proposals, and other products"
Madlung & Jones LLC,Strategic Emergency Education,women-owned,Krista Salinas,2021 E College Way Ste 214,Mount Vernon,WA,98273-2373,"At Strategic Emergency Education (SEE) we specialize in emergency management services including Response & Recovery Guidelines, Policies and Procedures, Plan Writing & Development, Plan Maintenance, Grant Writing, Grant Management, Emergency Operations Center Development & Assistance, Staff Training (active shooter, situational awareness, disaster preparedness, etc.), Tabletop, Drills, Exercises and Games. SEE also specializes in medical training to include CPR, first aid and life-threatening bleed control training."
"Red Arrow Consulting, Inc.",Red Arrow Logistics,women-owned,Liz Lasater,150 120th Ave Ne F110,Bellevue,WA,98005-3020,"Red Arrow Logistics works with Fortune 100 companies and others with high value, time sensitive and complex supply chain needs. Past performance includes air freight, ocean freight and trucking services to 93 countries around the world. A GSA qualified and DoD Bonded carrier. Disaster relief and support for Hurricanes, catastrophic events"
Meucci & Company,,women-owned,Mary Meucci,3903 39th Ave SW,SEATTLE,WA,98116-3846,"Customized training services specifically designed for Departments of Education, Ministries of Education and School Districts; specializing in Microsoft Imagine Academy(MSIA) and Creative Coding through Games and Apps(CCGA); workshops for STEM and computer science educators."
"EDJ Precision Machine, Inc. ",,women-owned,ED  MACK,13317 Ash Way B-1,Everett,WA,98204-5014,"CNC precision machine, full service turning, milling, finishing. Thirty years experience in aerospace, defense and commercial manufacturing."
RETAIN IT LLC,,women-owned,ASHLEIGH M VANEK,1290 S 44th Ave,Ridgefield,WA,98642-7622,
URIKA LLC ,,women-owned,Kendal Harr,8712 53RD PL W,MUKILTEO,WA,98275-3145,"URIKA LLC provides veterinary support using boarded specialists for field research and diagnostics of nondomestic species with a specialty in lower vertebrates. Quality assurance of laboratory equipment, laboratory statistical analysis and health data interpretation are provided to generate reports and products that satisfy contracts at an excellent rating level."
Custard Consulting LLC ,,women-owned,Susan  P Custard,4205 SE 177th Ln,Vancouver,WA,98683-2902,Our Best Federal HR Solutions group can assist your organization in creating answers aligned with your organization’s business strategies and workforce plan.
KONE CONSULTING LLC ,,women-owned,Christina Watson,20427 86TH PL W,EDMONDS,WA,98026-6614,"Koné Consulting, LLC is a woman-owned small business working every day to solve the social problem of inequity in income and opportunities. Our purpose is to inspire change and create lasting improvements for our clients in the government and nonprofit sectors. Koné Consulting’s Owner and President, Alicia Koné has been in the Health and Human Services field for over 25 years. She is a former Economic Services Administration manager where she spent eight years managing human service programs, including serving as the state SNAP Director for four of those years. Since leaving state government, her consulting practice has focused on working with health and human services organizations to improve programs. She has worked at national, state, county, and municipal levels, in over half the states in the country. As a team, Koné Consulting has over 73 years of experience in human services, over 25 years in technology, and over 37 years in business solutions."
"Event Dynamics, LLC ",Africa Dynamics ,women-owned,Sandra Y Collier,1400 112th Ave SE,Bellevue,WA,98004-6901,"Our specialty is working with the world’s leading associations, foundations and corporations to design and operate meetings, events and travel programs. We work internationally, in developing countries where limited infrastructure, resources and challenging conditions are the norm, as well as within the US and Canada. Our clients are committed to solving the world’s toughest human and environmental challenges and consider us their trusted authority and partner to help them deliver unique and exceptional transformational and educational content and travel experiences."
Parman Photography ,,women-owned,Trudy Parman,33020 10th Ave SW,Federal Way,WA,98023-5047,"Commercial photographer able to meet your needs for documenting special events, including developing website photography, portraits, bios and marketing needs."
"Tyson, Marjorie",WINDGYPSY,women-owned,Marjorie Tyson,14057 23rd Pl NE,Seattle,WA,98125-3328,"Business consulting and administrative support services related to government contracting, economic development, marketing, research and process improvement. Event support including marketing and outreach to small business and Native community."
CanCure LLC,Canzx Biotherapeutics,women-owned,Jennifer Wu,14232 51st Ave SE,Shoreline,WA,98155-0000,
"Equipment Experts, Inc.",,women-owned,Stacy Conner,2704 104th St Ct S,LAKEWOOD,WA,98499-6770,"Equipment Experts, Inc is mobile and shop based repair for Forklifts, Diesel Trucks, Heavy Equipment and Refrigeration Units, We offer emergency service 24/7. We also repair hoses in the field (all trucks have hose making equipment and a selection of fittings), welding and equipment transportation. We have a broad selection of technicians that ranges from several in our 12,000 square foot shop, to 10 plus trucks in the field. We currently service the from Everett to Tumwater to Silverdale. We can go further upon arrangement. We have scanners that we bring to the field and do in depth diagnostic. We are capable of doing everything up to an engine rebuild, or transmission swap in the field."
Collaborative Construction Solutions LLC,,women-owned,Lauren A Hale,1710 W Main St Suite 110,Battle Ground,WA,98604-4317,"Design-build general contractor; new construction and renovations; self-perform various phases of work, interior finishes, structural, civil, ; work in remote locations; licensed in multiple states; Border work, Parking lots, Experience on both borders"
"Moyer Construction, Inc ",,women-owned,JANICE K MOYER,5583 Ford Wellpinit Rd,wellpinit,WA,99040-0000,Handle most general contracting responsibilities for building and road construction projects. You will see no bonding because of location on the Spokane Indian Reservation. I do have liscense bonding.
"GREEN FORENSICS, INC.",,women-owned,BRIAN GREEN,409 E PIONEER STE A,PUYALLUP,WA,98372-3267,"Crime Scene Reconstruction, Bloodstain Pattern Analysis, Forensic Science"
"SAYBR CONTRACTORS, INC.",,women-owned,KAREN SAY-VALADEZ,3852 S 66TH ST,TACOMA,WA,98409-2408,"Saybr Contractors, Inc. is a full-service general contractor with more than two decades of experience performing vertical and horizontal construction throughout the Pacific Northwest. Saybr maintains four divisions, including a Building Division for private commercial building construction, a Petroleum Division, which specializes in fuel system construction, a Job Order Contracting Division, which completes multi-year public works projects, and a Federal Division, which focuses on civil and building construction for Federal agencies. Saybr’s mission is to build long-term relationships through the delivery of exceptional projects."
